id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2021-03-18T10:57:47;12617;25834
2;Miguel;Kling;Lynn.Buckridge@gmail.com;Wooden withdrawal;2021-03-18T05:58:07;9385;75289
3;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2021-03-18T08:07:09;90233;71649
4;Meredith;O'Hara;Deonte34@yahoo.com;Berkshire reinvent;2021-03-18T00:51:34;37356;15436
5;Antonina;Turner;Reuben92@yahoo.com;Albania;2021-03-18T16:14:40;54263;80529
6;Unique;MacGyver;Jensen13@gmail.com;Music pink;2021-03-18T03:36:46;95916;18581
7;Myrtice;O'Hara;Imogene95@yahoo.com;calculate Concrete Soap;2021-03-18T06:33:18;95498;15970
8;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2021-03-17T20:35:57;43151;12407
9;Edwin;Abshire;June_Nicolas@gmail.com;Automated Small Concrete Chicken;2021-03-17T23:25:33;69929;43322
10;Casey;Schinner;Yasmine24@yahoo.com;e-business;2021-03-18T00:07:58;601;74069
